SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GLS12I3FOAEC,Sapphire Split AC 1.0 - 3 Star,31 330.00,44 990.00,Not Available,100%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Anti Corrosion Coating | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Eco Friendly Refrigerant | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/a/sapphire_silver_1__3.jpg
GLS12I3FOAEV,Sapphire Split AC 1.0 - 3 Star,32 250.00,45 990.00,Not Available,100%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | PM 2.5 filter | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i3foaev_1.jpg
GLS18I3KOISR,Pearl Split AC 1.5 - 3 Star,35 940.00,55 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3koisr.jpg
GLS12I3FOPEV,Pearl Split AC 1.0 - 3 Star,32 250.00,45 990.00,Not Available,80%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | PM 2.5 filter | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i3fopev_1200_1.jpg
GLS18I3FOPEV,Pearl Split AC 1.5 - 3 Star,35 940.00,54 990.00,Not Available,80%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | PM 2.5 filter | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3fopev_1200_1.jpg
GLS18I4FWCXA,Xtreme Split AC 1.5 - 4 Star,41 470.00,57 990.00,Not Available,80%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i4fwcxa_star_1_1.jpg
GLS24I3KOASC,Classic Split AC 2.0 - 3 Star,46 080.00,70 490.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Hidden LED Display | Stabilizer Free Operation | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i3foasc_3.jpg
GLS12I3FOASC,Classic Split AC 1.0 - 3 Star,31 330.00,45 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | Stabilizer Free Operation | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i3foasc_1.jpg
GLS12I5FOGEC,Classic Split AC 1.0 - 5 Star,36 860.00,51 990.00,Not Available,95%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Eco Friendly Refrigerant | WiFi Ready (Optional WiFi) | Anti Corrosion Coating | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i5fogec_1_1.jpg
GLS09I3FOASR,Classic Split AC 0.8 - 3 Star,30 410.00,43 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls09i3foasr.jpg
GLS18I3FOSEC,Classic Inverter Split AC 1.5 - 3 Star,35 020.00,53 990.00,Not Available,95%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | Anti-Viral Dust Filter | Golden Fin Evaporator | Hidden LED Display | Stabilizer Free Operation | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3fosec.jpg
