SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GHFMGDVK075,Klassic 750 W Mixer Grinder,4 299.00,7 295.00,Not Available,Not Available,"Black and Purple 750 W, 4 Jar",1 N,Powerful 750 W motor | High Speed Grinding at 21000 rpm for faster & 30 minutes rating for longer grinding sessions | Superior 304 Stainless Steel Blade : New design blade for best grinding results | 1 Year Warranty on Motor & on Product | 3 Speed Control with Pulse Function. | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgdvk075_1.jpg
GHRGHFHE080,Cozio Nuo Quartz Infrared Room Heater,1 499.00,2 099.00,Not Available,Not Available,Quartz Infrared Heater,1 N,Insta-Heat with quick heating 800 W Quartz Tube | WARM & HOT dual heat setting 400 W single Tubes & 800 W both Tubes | Rust Free Reflector : Stainless-steel rust-free reflectors not only reflects the maximum heat giving best performance but also are safe from rusting. | Tip-Overheat Protection : Enhances safety by automatically shutting off in case product is tipped over | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghrghfhe080_1__1.jpg
GHRGHEKE080,Glow Quartz Infrared Room Heater,1 499.00,2 099.00,Not Available,Not Available,Quartz Infrared Heater,1 N,Insta-Heat with quick heating 800 W Quartz Tube | WARM & HOT dual heat setting 400 W single Tubes & 800 W both Tubes | Rust Free Reflector : Stainless-steel rust-free reflectors not only reflects the maximum heat giving best performance but also are safe from rusting. | Tip-Overheat Protection : Enhances safety by automatically shutting off in case product is tipped over | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghrgheke080.jpg
GHRGHFGE180,Adnis Heat Convector Room Heater,1 799.00,2 999.00,Not Available,Not Available,Heat Convector,1 N,"Thermo-Core Chamber for improved performance with quick heating 1800 W Element | Customizable comfort and energy efficiency 900 W / 1800 W | Adjustable Thermostat : Maintains desired comfort level by automatically controlling the heater’s ON and OFF cycles, preventing overheating and saving energy by stopping the heating element when the room reaches the set temperature | Overheat Protection : Complete safety with Overheat Protection combines with Thermal Fuse & Cut | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghrghfge180_1_.jpg
GHRFHEJI180,Fiesta Heat Convector Room Heater,1 899.00,2 999.00,Not Available,Not Available,Heat Convector,1 N,"Thermo-Core Chamber for improved performance with quick heating 1800 W Element | Customizable comfort and energy efficiency 900 W / 1800 W | Adjustable Thermostat : Maintains desired comfort level by automatically controlling the heater’s ON and OFF cycles, preventing overheating and saving energy by stopping the heating element when the room reaches the set temperature | Overheat Protection : Complete safety with Overheat Protection combines with Thermal Fuse & Cut | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghrfheji180_1_.jpg
GHFFPGAK075,Unity 750 W Mixer Grinder,6 299.00,9 990.00,Not Available,Not Available,"Black 750 W, 4 Jar",1 N,Citrus Juicing Attachment | 1.4 L Food Grade FP Bowl | 750 W Powerful Motor | Wider Mouth Jar | High Grade SS304 Blades | Aata Kneading Attachment | Bigger Size Jars with Handle | Overload Protection | 1.75 L Blending Jar with Fruit Filter | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/u/n/unity_1_.jpg
GHFFPFZP075,RHYTHM 750 W Mixer Grinder,6 299.00,10 190.00,Not Available,Not Available,"Light Pink & Rose Pink 750 W, 4 Jar",1 N,Citrus Juicing Attachment | 1.4 L Food Grade FP Bowl | 750 W Powerful Motor | Wider Mouth Jar | High Grade SS304 Blades | Aata Kneading Attachment | Bigger Size Jars with Handle | Overload Protection | 1.75 L Blending Jar with Fruit Filter | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/r/h/rhythm.jpg
GHFMGBGR050,Stone 500 W Mixer Grinder,2 699.00,4 295.00,Not Available,Not Available,"Red 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | Air Vent Technology | 3 Speeds with Pulse function | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgbgr050.jpg
GHFMGBGK050,Stone 500 W Mixer Grinder,2 699.00,4 295.00,Not Available,Not Available,"Black 500 W, 3 Jar",1 N,500 W Powerful Motor | 21000 Revolution Per Minute* (Approx.) | Air Vent Technology | 3 Speeds with Pulse function | Stainless steel Blades | Stainless steel Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stone_black.jpg
GHFMGGGG035,Nutri Power Blender 350 W Mixer Grinder,2 299.00,3 295.00,Not Available,Not Available,350 W Mint Green,1 N,350 W Powerful Heavy Duty Motor | Nutri Jars With Blend & Carry & Store Feature | Powerful Stainless Steel Blade | Air Vent Technology | Stainless steel Blades | ABS Body | 1 Speed Switch | Polycarbonate Jars | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/n/u/nutri_power_green.jpg
